Pillow,Cat,5,Day 1,1839,1840,1.0,1,Day 1,1800,1801,1.0,1,Day 1,1839,1840,1.0,1,Day 1,1839,1840,1.0,1,Day 1,1839,1840,1.0,1,Day 1,1839,1840,1.0,1,Day 1,1839,1840,1.0,1,Day 1,1839,1840,1.0,1
Atlas,Cat,2,Day 1,1742,1744,1.0,1,Day 1,1742,1744,1.0,1,Day 1,1742,1744,1.0,1,Day 1,1742,1744,1.0,1,Day 1,1742,1744,1.0,1,Day 1,1742,1744,1.0,1,Day 1,1742,1744,1.0,1,Day 1,1742,1744,1.0,1
Cocoa,Dog,1.4,Day 1,1630,1632,1.0,1,Day 1,1630,1632,1.0,1,Day 1,1630,1632,1.0,1,Day 1,1630,1632,1.0,1,Day 1,1630,1632,1.0,1,Day 1,1630,1632,1.0,1,Day 1,1630,1632,1.0,1,Day 1,1630,1632,1.0,1
Starbs,Cat,10,Day 1,1240,1240,1.0,1,Day 1,1240,1240,1.0,1,Day 1,1240,1240,1.0,1,Day 1,1240,1240,1.0,1,Day 1,1240,1240,1.0,1,Day 1,1240,1240,1.0,1,Day 1,1240,1240,1.0,1,Day 1,1240,1240,1.0,1
Tucker,Dog,7.9,Day 1,0918,0918,1.0,1,Day 1,0918,0923,1.0,11,Day 1,0918,0918,1.0,1,Day 1,0918,0918,1.0,1,Day 1,0918,0918,1.0,1,Day 1,0918,0918,1.0,1,Day 1,0918,0918,1.0,1,Day 1,0918,0918,1.0,1
Margie,Cat,8,Day 1,1653,1653,1.0,1,Day 1,1653,1653,1.0,1,Day 1,1653,1653,1.0,1,Day 1,1653,1653,1.0,1,Day 1,1653,1653,1.0,1,Day 1,1653,1653,1.0,1,Day 1,1653,1653,1.0,1,Day 1,1653,1653,1.0,1
Chloe,Cat,2,Day 2,1430,1450,0.5,5,Day 2,1430,1450,0.5,5,Day 2,1430,1450,0.5,5
Jim,Dog,3.0,Day 2,1945,0205,0.5,5,Day 2,1945,0205,0.5,5,Day 2,1945,0205,0.5,5
John,Cat,10,Day 2,1637,1642,0.5,5,Day 2,1637,1642,0.5,5,Day 2,1637,1642,0.5,5
Sally,Dog,3.7,Day 2,1345,1355,0.5,5,Day 2,1345,1355,0.5,5,Day 2,1345,1355,0.5,5
